id	language	nonderived	basic	gb	ry	latitude	longitude	macroarea	genus	family	altitude	precipitation
59	Korean	6.0	3.5	1	1	37.5	128.0	Eurasia	Korean	Korean	193	1000
60	Kriol (Ngukurr)	6.0	3.5	1	1	-14.833329999999998	135.0	Australia	Creoles and Pidgins	other	12	2000
61	Kuna	5.0	7.25	0	1	8.0	-77.33333	South America	Kuna	Chibchan	514	3000
62	Kwerba	3.0	3.5	0	1	-2.25	138.5	Papunesia	Kwerba	Kwerba	97	1000
63	Lele	4.0	3.5	0	1	9.08333	15.583329999999998	Africa	East Chadic	Afro-Asiatic	447	500
64	Mampruli	5.5	6.25	0	1	10.33333	-0.66667	Africa	Gur	Niger-Congo	162	500
65	Mandarin	6.0	8.25	1	1	34.0	110.0	Eurasia	Chinese	Sino-Tibetan	1005	500
66	Maring	5.5	5.0	0	1	-5.5	144.66666999999995	Papunesia	Chimbu	Trans-New Guinea	1028	3000
67	Martu Wangka	5.0	5.0	1	1	-21.5	126.0	Australia	Western Pama-Nyungan	Pama-Nyungan	328	250
68	Mats?s	4.0	3.5	0	1	-5.41667	-73.25	South America	Panoan	Panoan	160	3000
69	Mawchi	5.0	7.25	0	1	21.33333	73.66667	Eurasia	Indic	Indo-European	116	1000
70	Mazahua	6.0	9.5	1	1	19.41667	-99.91667	North America	Otomian	Oto-Manguean	2613	500
71	Mazatec (Chiquihuitl?n)	5.5	9.5	0	1	17.75	-96.91667	North America	Popolocan	Oto-Manguean	1180	500
72	Menya	5.0	6.25	0	1	-7.25	146.0	Papunesia	Angan	Trans-New Guinea	1109	3000
73	Micmac	6.0	6.25	1	1	45.0	-63.0	North America	Algonquian	Algic	100	1000
74	Mikasuki	5.0	8.25	0	1	32.0	-85.0	North America	Muskogean	Muskogean	152	1000
75	Mixtec (Pe?oles)	5.0	7.25	0	1	17.08333	-96.91667	North America	Mixtecan	Oto-Manguean	1951	500
76	M?nd?	3.0	3.5	0	0	4.5	30.0	Africa	Ubangi	Niger-Congo	808	500
77	Murle	5.0	6.25	0	1	6.5	33.5	Africa	Surmic	Eastern Sudanic	393	500
78	Nafaanra	3.0	3.5	0	0	8.0	-2.58333	Africa	Gur	Niger-Congo	294	1000
79	Nahuatl (North Puebla)	6.0	8.25	1	1	20.0	-98.25	North America	Aztecan	Uto-Aztecan	2482	500
80	Ndyuka	6.0	6.25	1	1	4.5	-54.5	South America	Creoles and Pidgins	other	68	2000
81	Ng?bere	6.0	7.25	1	1	8.66667	-82.0	North America	Guaymiic	Chibchan	1012	3000
82	Ocaina	5.0	6.25	0	1	-2.75	-71.75	South America	Huitoto	Huitotoan	100	3000
83	O'odham	5.0	8.25	0	1	32.0	-112.0	North America	Tepiman	Uto-Aztecan	663	250
84	Patep	5.5	6.25	0	1	-6.91667	146.58333000000005	Papunesia	Oceanic	Austronesian	1332	3000
85	Pech	5.0	5.0	0	1	15.0	-85.5	North America	Paya	Chibchan	556	2000
86	Pirah?	4.0	3.5	0	0	-7.0	-62.0	South America	Mura	Mura	64	2000
87	Russian	6.0	3.5	1	1	56.0	38.0	Eurasia	Slavic	Indo-European	183	1000
88	Saramaccan	5.5	9.5	0	1	4.5	-55.5	South America	Creoles and Pidgins	other	114	2000
89	Seri	5.0	6.25	0	1	29.0	-112.0	North America	Seri	Hokan	91	250
90	Shipibo-Konibo	5.0	6.25	0	1	-7.5	-75.0	South America	Panoan	Panoan	149	1000
91	Sirion?	5.0	5.0	0	1	-15.583329999999998	-64.0	South America	Tupi-Guaran?	Tupian	170	250
92	Slave	6.0	7.25	1	1	67.0	-125.0	North America	Athapaskan	Na-Dene	319	250
93	Spanish	6.0	7.25	1	1	40.0	-4.0	Eurasia	Romance	Indo-European	507	250
94	Sursurunga	5.0	6.25	0	1	-4.0	152.76667	Papunesia	Oceanic	Austronesian	762	3000
95	Tabla	5.0	6.25	0	1	-2.45	140.41666999999998	Papunesia	Sentani	Sentani	1334	3000
96	Tacana	5.5	6.25	0	0	-13.5	-68.0	South America	Tacanan	Tacanan	209	2000
97	Tarahumara (Central)	5.0	5.0	0	0	27.5	-107.5	North America	Tarahumaran	Uto-Aztecan	2170	1000
98	Tarahumara (Western)	5.0	6.25	0	1	27.5	-108.0	North America	Tarahumaran	Uto-Aztecan	2258	1000
99	Tboli	5.0	6.25	0	1	6.16667	124.5	Papunesia	Bilic	Austronesian	490	2000
100	Teribe	5.5	7.25	0	1	9.33333	-82.66667	North America	Talamanca	Chibchan	767	2000
101	Ticuna	5.0	6.25	0	1	-4.0	-70.5	South America	Ticuna	Ticuna	98	3000
102	Tifal	4.0	3.5	0	1	-5.0	141.33333000000005	Papunesia	Ok	Trans-New Guinea	2333	3000
